trade_id,entry_ts,entry_ts_ist,pair,side,strategy_id,strategy_name,strategy_tier,confidence,entry_price,qty,note,exit_ts,exit_ts_ist,exit_price,realized_pnl
1770903320-ETHUSDT,1770903320,2026-02-12 19:05:20 IST,ETHUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.802890,1986.03,0.06042204800531714,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=55.7 | Vol=1.5x | 15m gap=0.429%,1770905753,2026-02-12 19:45:53 IST,1980.82,-0.3912
1770903094-NEARUSDT,1770903094,2026-02-12 19:01:34 IST,NEARUSDT,LONG,cmf_divergence,CMF Divergence,2h,0.860000,0.96,93.33333333333327,CMF Bullish Divergence | Price LL but CMF HL | CMF: -0.547→-0.442 | RSI=25.0 | Strength=0.105,1770904964,2026-02-12 19:32:44 IST,0.953,-0.651
1770895943-ETHUSDT,1770895943,2026-02-12 17:02:23 IST,ETHUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.860000,1996.76,0.07011358400608987,CMF Bearish Divergence | Price HH but CMF LH | CMF: 0.119→0.000 | RSI=74.1 | Strength=0.118,1770898084,2026-02-12 17:38:04 IST,1982.17,0.9345
1770895080-NEARUSDT,1770895080,2026-02-12 16:48:00 IST,NEARUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.753779,1.0,101.81818181818105,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=51.5 | Vol=1.0x | 15m gap=0.965%,1770896417,2026-02-12 17:10:17 IST,0.994,-0.606
1770893431-ETHUSDT,1770893431,2026-02-12 16:20:31 IST,ETHUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.845324,1988.11,0.07041863880771185,CMF Bearish Divergence | Price HH but CMF LH | CMF: 0.254→-0.010 | RSI=69.8 | Strength=0.265,,,,
1770892231-NEARUSDT,1770892231,2026-02-12 16:00:31 IST,NEARUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.860000,0.997,139.99999999999986,CMF Bearish Divergence | Price HH but CMF LH | CMF: 0.191→0.076 | RSI=78.9 | Strength=0.115,,,,
1770888856-NEARUSDT,1770888856,2026-02-12 15:04:16 IST,NEARUSDT,LONG,atr_breakout,ATR Volatility Breakout,1m,0.720000,0.993,159.9999999999999,ATR breakout UP | Break=1.50x ATR | Vol=1.9x,1770891326,2026-02-12 15:45:26 IST,0.998,0.6359999999999999
1770888855-DOGEUSDT,1770888855,2026-02-12 15:04:15 IST,DOGEUSDT,LONG,ichimoku_cloud,Ichimoku Cloud Breakout,2h,0.880000,0.09329,1286.3115017686785,Ichimoku LONG | TK Bull Cross | Above Cloud | ADX=24.9 | +DI=33.9 | Cloud=GREEN | Vol=2.1x,,,,
1770886380-NEARUSDT,1770886380,2026-02-12 14:23:00 IST,NEARUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.691777,0.985,121.8274111675127,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=51.6 | Vol=0.8x | 15m gap=0.603%,,,,
1770884505-ETHUSDT,1770884505,2026-02-12 13:51:45 IST,ETHUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,0.824688,1961.94,0.061163949967888924,BB+KC Squeeze SHORT FIRE | Momentum=-7.79↓ | ADX=12.9 | Vol=2.8x | RSI=45.2 | ATR%=0.238%,,,,
1770880530-NEARUSDT,1770880530,2026-02-12 12:45:30 IST,NEARUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.785154,0.98,122.44897959183673,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=60.0 | Vol=1.1x | 15m gap=0.447%,,,,
1770876854-NEARUSDT,1770876854,2026-02-12 11:44:14 IST,NEARUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.802222,0.978,143.14928425357874,CMF Bearish Divergence | Price HH but CMF LH | CMF: -0.040→-0.166 | RSI=63.3 | Strength=0.126,,,,
1770874469-LTCUSDT,1770874469,2026-02-12 11:04:29 IST,LTCUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.797376,52.93,2.2671452862270924,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=56.4 | Vol=1.5x | 15m gap=0.374%,,,,
1770874322-AVAXUSDT,1770874322,2026-02-12 11:02:02 IST,AVAXUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.667646,8.737,13.734691541719126,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=49.7 | Vol=0.8x | 15m gap=0.314%,,,,
1770873344-ETHUSDT,1770873344,2026-02-12 10:45:44 IST,ETHUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,0.838108,1957.53,0.06130174250203062,BB+KC Squeeze SHORT FIRE | Momentum=-9.15↓ | ADX=15.6 | Vol=1.8x | RSI=37.4 | ATR%=0.290%,,,,
1770872743-NEARUSDT,1770872743,2026-02-12 10:35:43 IST,NEARUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,0.851674,0.97,115.86206896551712,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=18.3 | Vol=7.1x | RSI=36.8 | ATR%=0.331%,,,,
1770871093-NEARUSDT,1770871093,2026-02-12 10:08:13 IST,NEARUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.733915,0.977,122.82497441146367,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=52.6 | Vol=0.9x | 15m gap=0.347%,,,,
1770870944-ETHUSDT,1770870944,2026-02-12 10:05:44 IST,ETHUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.783844,1967.16,0.0610016470444702,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=63.1 | Vol=1.9x | 15m gap=0.238%,,,,
1770863669-ETHUSDT,1770863669,2026-02-12 08:04:29 IST,ETHUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.644055,1966.96,0.0610078496766584,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=52.7 | Vol=0.7x | 15m gap=0.142%,,,,
1770863593-NEARUSDT,1770863593,2026-02-12 08:03:13 IST,NEARUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.675121,0.975,123.07692307692308,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=60.6 | Vol=0.9x | 15m gap=0.182%,,,,
1770861946-ETHUSDT,1770861946,2026-02-12 07:35:46 IST,ETHUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.719388,1962.97,0.06113185631976036,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=53.7 | Vol=1.1x | 15m gap=0.106%,,,,
1770860368-ETHUSDT,1770860368,2026-02-12 07:09:28 IST,ETHUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.860000,1973.91,0.07092521948822388,CMF Bearish Divergence | Price HH but CMF LH | CMF: 0.016→-0.051 | RSI=83.6 | Strength=0.066,,,,
1770859694-LTCUSDT,1770859694,2026-02-12 06:58:14 IST,LTCUSDT,LONG,atr_breakout,ATR Volatility Breakout,1m,0.720000,52.94,3.022289384208538,ATR breakout UP | Break=0.53x ATR | Vol=7.0x,,,,
1770859693-NEARUSDT,1770859693,2026-02-12 06:58:13 IST,NEARUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.802222,0.974,139.99999999999986,CMF Bearish Divergence | Price HH but CMF LH | CMF: 0.013→-0.157 | RSI=63.3 | Strength=0.170,,,,
1770853843-LTCUSDT,1770853843,2026-02-12 05:20:43 IST,LTCUSDT,SHORT,obv_divergence,OBV Divergence Reversal,1m,0.667593,52.18,3.0663089306247606,OBV bearish divergence | Price HH but OBV LH | RSI=68.5,,,,
1770852118-DOGEUSDT,1770852118,2026-02-12 04:51:58 IST,DOGEUSDT,LONG,cmf_divergence,CMF Divergence,2h,0.900000,0.09057,1545.7657060836923,CMF Bullish Divergence | Price LL but CMF HL | CMF: -0.047→0.155 | RSI=26.8 | Strength=0.202,,,,
1770851593-ETHUSDT,1770851593,2026-02-12 04:43:13 IST,ETHUSDT,SHORT,atr_breakout,ATR Volatility Breakout,1m,0.720000,1943.37,0.08233120815902273,ATR breakout DOWN | Break=0.90x ATR | Vol=3.6x,,,,
1770851518-NEARUSDT,1770851518,2026-02-12 04:41:58 IST,NEARUSDT,LONG,keltner_reversion,Keltner Channel Mean Reversion,2h,0.729322,0.963,130.66666666666657,Keltner LONG Reversion | Price at lower band | RSI=27.0 | ADX=28.0 | CMF=-0.079 | Dist to mid=1.07%,1770891326,2026-02-12 15:45:26 IST,0.998,0.6359999999999999
1770845143-ETHUSDT,1770845143,2026-02-12 02:55:43 IST,ETHUSDT,LONG,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,0.860000,1967.84,0.060980567525815106,BB+KC Squeeze LONG FIRE | Momentum=16.82↑ | ADX=26.8 | Vol=5.9x | RSI=61.9 | ATR%=0.341%,1770872514,2026-02-12 10:31:54 IST,1966.4,-0.00426999
1770844768-LTCUSDT,1770844768,2026-02-12 02:49:28 IST,LTCUSDT,LONG,ichimoku_cloud,Ichimoku Cloud Breakout,2h,0.702331,52.41,2.2896393817973673,Ichimoku LONG | TK Bull Cross | Above Cloud | ADX=22.0 | +DI=29.0 | Cloud=GREEN | Vol=0.6x,1770876039,2026-02-12 11:30:39 IST,52.93,-0.06801
1770843043-AVAXUSDT,1770843043,2026-02-12 02:20:43 IST,AVAXUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.778041,8.687,13.813744675952574,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=43.1 | Vol=1.8x | 15m gap=0.180%,,,,
1770841768-NEARUSDT,1770841768,2026-02-12 01:59:28 IST,NEARUSDT,SHORT,supertrend_flip,Supertrend Trend Flip,2h,0.686180,0.959,130.66666666666657,Supertrend SHORT Flip | ST=0.97 | RSI=31.2 | EMA50=0.96 | Vol=1.3x | ATR%=0.484%,,,,
1770841018-AVAXUSDT,1770841018,2026-02-12 01:46:58 IST,AVAXUSDT,LONG,mtf_ema_ribbon,Multi-TF EMA Ribbon,2h,0.667974,8.696,13.799448022079117,MTF EMA Ribbon LONG | 15m UP trend | 5m pullback bounce @ EMA20 | RSI=46.8 | Vol=0.8x | 15m gap=0.234%,,,,
1770838995-LTCUSDT,1770838995,2026-02-12 01:13:15 IST,LTCUSDT,SHORT,cmf_divergence,CMF Divergence,2h,0.795459,52.37,2.673286232575902,CMF Bearish Divergence | Price HH but CMF LH | CMF: 0.235→-0.091 | RSI=62.3 | Strength=0.326,,,,
