trade_id,entry_ts,entry_ts_ist,pair,side,strategy_id,strategy_name,strategy_tier,confidence,entry_price,qty,note,exit_ts,exit_ts_ist,exit_price,realized_pnl
1770759091-LTCUSDT-SHORT,1770759091,2026-02-11 03:01:31 IST,LTCUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,,52.99,2.2645782223060955,BB+KC Squeeze SHORT FIRE | Momentum=-0.26↓ | ADX=31.4 | Vol=1.9x | RSI=38.5 | ATR%=0.226%,1770792908,2026-02-11 12:25:08 IST,52.04,0.19011
1770734672-DOGEUSDT-SHORT,1770734672,2026-02-10 20:14:32 IST,DOGEUSDT,SHORT,bb_kc_squeeze,BB+Keltner Squeeze Breakout,2h,,0.09237,649.5615459564794,BB+KC Squeeze SHORT FIRE | Momentum=-0.00↓ | ADX=18.4 | Vol=4.7x | RSI=28.5 | ATR%=0.426%,1770792834,2026-02-11 12:23:54 IST,0.09015,1.78872998
1770784813-NEARUSDT-SHORT,1770784813,2026-02-11 10:10:13 IST,NEARUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.979,151.3513513513512,BB squeeze breakout DOWN | BW=1.79% | ATR=0.409%,1770786384,2026-02-11 10:36:24 IST,0.981,-0.45299999999999996
1770749590-DOGEUSDT-LONG,1770749590,2026-02-11 00:23:10 IST,DOGEUSDT,LONG,keltner_reversion,Keltner Channel Mean Reversion,2h,,0.0923,1516.7930660888408,Keltner LONG Reversion | Price at lower band | RSI=20.5 | ADX=25.6 | CMF=0.005 | Dist to mid=0.87%,1770777090,2026-02-11 08:01:30 IST,0.09351,0.4286
1770768391-ETHUSDT-LONG,1770768391,2026-02-11 05:36:31 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2022.72,0.09887676000632811,BB squeeze breakout UP | BW=0.27% | ATR=0.090%,1770777015,2026-02-11 08:00:15 IST,2028.87,0.11661998999999999
1770771316-LTCUSDT-LONG,1770771316,2026-02-11 06:25:16 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.42,3.743916136278547,BB squeeze breakout UP | BW=0.40% | ATR=0.082%,1770772890,2026-02-11 06:51:30 IST,53.36,-0.26201
1770766741-ETHUSDT-LONG,1770766741,2026-02-11 05:09:01 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2018.85,0.09906630012135623,BB squeeze breakout UP | BW=0.32% | ATR=0.081%,1770769964,2026-02-11 06:02:44 IST,2023.95,0.18228
1770768241-LTCUSDT-LONG,1770768241,2026-02-11 05:34:01 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.38,3.746721618583739,BB squeeze breakout UP | BW=0.15% | ATR=0.060%,1770769814,2026-02-11 06:00:14 IST,53.3,-0.41206
1770743889-ETHUSDT-LONG,1770743889,2026-02-10 22:48:09 IST,ETHUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,2031.75,0.09843730773963331,BB squeeze breakout UP | BW=0.67% | ATR=0.132%,1770768314,2026-02-11 05:35:14 IST,2021.28,0.25839
1770766366-LTCUSDT-LONG,1770766366,2026-02-11 05:02:46 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.3,3.75234521575985,BB squeeze breakout UP | BW=0.27% | ATR=0.064%,1770767939,2026-02-11 05:28:59 IST,53.32,
1770734363-ETHUSDT-SHORT,1770734363,2026-02-10 20:09:23 IST,ETHUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,2007.33,0.06668254346272938,BB squeeze breakout DOWN | BW=1.43% | ATR=0.299%,1770760589,2026-02-11 03:26:29 IST,2007.06,-0.34254
1770755354-LTCUSDT-LONG,1770755354,2026-02-11 01:59:14 IST,LTCUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,53.29,3.7530493525989868,BB squeeze breakout UP | BW=0.32% | ATR=0.079%,1770756854,2026-02-11 02:24:14 IST,,
1770754454-AVAXUSDT-SHORT,1770754454,2026-02-11 01:44:14 IST,AVAXUSDT,SHORT,bb_squeeze,Bollinger Squeeze Breakout,1m,,8.697,22.996435552489366,BB squeeze breakout DOWN | BW=0.41% | ATR=0.102%,1770756027,2026-02-11 02:10:27 IST,,
1770741545-DOGEUSDT-LONG,1770741545,2026-02-10 22:09:05 IST,DOGEUSDT,LONG,bb_squeeze,Bollinger Squeeze Breakout,1m,,0.09342,2140.869192892314,BB squeeze breakout UP | BW=0.73% | ATR=0.167%,1770751123,2026-02-11 00:48:43 IST,,
